"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","source","characteristic","parameter"
0.503417976345263,0.10491164063094,0.29373590800609,0.438520609219031,0.50557176235026,0.56729722371049,0.705601858751888,1.00987144534419,230,"well","Permafrost","sigma_int"
0.0363406833709507,0.0516322296208201,0.000975139497003506,0.010400392286855,0.0219936965326802,0.0436551119183514,0.156650939444783,1.00147592167531,2000,"well","Permafrost","sigma_res"
0.0557361800938563,0.0156432916419497,0.0322368342506651,0.0448452185194033,0.0533278765192433,0.0642232546348534,0.0920046991995482,1.00082750484852,3000,"well","Permafrost","deviance"
0.757721396315229,0.118727896160385,0.521522880182281,0.68346659426819,0.755367497429988,0.833286427538459,0.995614591191466,1.00484366134317,750,"ppt/snow","Permafrost","alpha_1"
0.765150234412509,0.118825894966597,0.524688136296397,0.69021159511641,0.762492119025356,0.840418603918479,1.00619919837638,1.00557842144757,570,"ppt/snow","Permafrost","alpha_2"
0.722439124940303,0.117823480436645,0.494258767940239,0.649284652912562,0.718598512179344,0.79665160912534,0.962453524796945,1.00638477885756,770,"ppt/snow","Permafrost","alpha_3"
0.711481153784859,0.119125535297842,0.477026389139984,0.635459097117057,0.710609179956076,0.784339281072848,0.957518312862571,1.00602886521171,570,"ppt/snow","Permafrost","alpha_4"
-0.00162564186289795,0.00359058907087977,-0.00894197480993738,-0.00387841790654189,-0.00153768442250118,0.000617450203331881,0.00552168095861692,1.00373336783373,760,"ppt/snow","Permafrost","beta"
-77.3650605656845,5.91904907195359,-86.7652666380062,-81.6599573542394,-78.1036080473928,-73.8717806128388,-64.0774866632953,1.000517837286,3000,"ppt/snow","Permafrost","mu_int"
0.738543310915065,0.127440638416166,0.493831828312086,0.661273331868275,0.73599471210728,0.815998175049816,1.00062618068498,1.00536021712642,740,"ppt/snow","Permafrost","sigma_int"
0.0698295047226236,0.0796839863666068,0.00359532977245527,0.0269009507213869,0.0479973786213882,0.083853581004175,0.279373927326304,1.00067543125042,3000,"ppt/snow","Permafrost","sigma_res"
0.0621892098118067,0.0176141691653611,0.0360615683250622,0.0501724716328988,0.0593294048399619,0.0716889828778052,0.102956631193,1.00056313781258,3000,"ppt/snow","Permafrost","deviance"
0.203806555918796,0.0591852311930426,0.085929110499058,0.167041044629919,0.204889346342442,0.241725829390146,0.318176713617194,1.00107470170922,3000,"well","Size","alpha_1"
0.191356496474184,0.0599249449240945,0.0674782001761002,0.153689193369759,0.192959929707941,0.230141592512814,0.304350715871287,1.00078324442067,3000,"well","Size","alpha_2"
0.201144789131312,0.0596255750328178,0.0791166372444496,0.163723940606524,0.202193480938079,0.240438882105878,0.313929387250463,1.00052768799087,3000,"well","Size","alpha_3"
