"Site","Year","Mean","SD","p2.5","p25","p50","p75","p97.5","Rhat","n.eff","Source","name","Par"
"FRCH","2022",-0.179622378060292,0.00110870450355752,-0.181845742446364,-0.180372293217484,-0.179608442318922,-0.178853966807523,-0.177453171700804,1.00196405519172,1400,"ppt/snow","beta[51]","beta"
"FRCH","2022",-0.196726267598844,0.00111901207893431,-0.198933398412047,-0.197478928375738,-0.196691841564507,-0.195955949715437,-0.194533488928883,1.00116669478392,3000,"ppt/snow","beta[52]","beta"
"FRCH","2022",-0.160250053309501,0.00109804681587973,-0.162429332273596,-0.160972207436678,-0.16025813400046,-0.159537931123607,-0.158062643206578,1.00058543524124,3000,"ppt/snow","beta[53]","beta"
"FRCH","2022",-0.164506997185669,0.00108189554348525,-0.166606674501019,-0.165243211572051,-0.164520263501805,-0.163795703523043,-0.162434582718901,1.00480648723506,470,"ppt/snow","beta[54]","beta"
"FRCH","2022",-0.146259314210057,0.00113945725473112,-0.148519479117482,-0.147054540812628,-0.146222488439457,-0.145482354385933,-0.144018656087463,1.00607409727186,390,"ppt/snow","beta[55]","beta"
"FRCH","2022",-0.158949911284947,0.00109101270904624,-0.161135866929279,-0.159679079952829,-0.158950570109727,-0.15819915219257,-0.156835255818741,1.00197165841673,1400,"ppt/snow","beta[56]","beta"
"FRCH","2022",-0.178354615588813,0.0011009035682596,-0.1805207848278,-0.179061799543677,-0.178374110520696,-0.177612765692788,-0.176151608267235,1.01193916520521,180,"ppt/snow","beta[57]","beta"
"FRCH","2022",-0.224585618678188,0.00110648669233705,-0.226732778395461,-0.225348169980764,-0.224596973327244,-0.223838452660249,-0.222376944114176,1.00545073623175,440,"ppt/snow","beta[58]","beta"
"FRCH","2022",-0.140465295914668,0.00107806733306489,-0.142630899073682,-0.141168318334866,-0.140458845294861,-0.139750334835059,-0.138343221309964,1.00149204686964,2000,"ppt/snow","beta[59]","beta"
"FRCH","2022",-0.137074317591004,0.00111334743431623,-0.139156662778884,-0.137835874256557,-0.137107766794534,-0.136309931111385,-0.134901072781394,1.00421152699911,540,"ppt/snow","beta[60]","beta"
"FRCH","2022",-0.185153124923825,0.00112293985282456,-0.187244638770391,-0.185955837089806,-0.185158356070142,-0.184380570002035,-0.182954940830277,1.00652264785728,330,"ppt/snow","beta[61]","beta"
"FRCH","2022",-0.173917395068936,0.00108895166410269,-0.176094871329535,-0.174636506449694,-0.173901175140327,-0.173182882089716,-0.171856213887879,1.00352687420694,660,"ppt/snow","beta[62]","beta"
"FRCH","2022",-0.188120790875758,0.00107921183747686,-0.190286917294722,-0.188842182297866,-0.188113495982343,-0.187394077399786,-0.186041518126359,1.00587312280038,370,"ppt/snow","beta[63]","beta"
"FRCH","2022",-0.185756079570818,0.00111898182237871,-0.187958054171913,-0.186503553994808,-0.185765938839263,-0.185005892348913,-0.183562117376308,1.00150973073236,2000,"ppt/snow","beta[64]","beta"
