"Site","Day","Q"
"MOOS",2019-07-27,443.686739771389
"MOOS",2019-07-28,401.124370326674
"MOOS",2019-07-29,430.500297858395
"MOOS",2019-07-30,650.97375658762
"MOOS",2019-07-31,610.856172723855
"MOOS",2019-08-01,560.670692333818
"MOOS",2019-08-02,749.342688230538
"MOOS",2019-08-03,1259.60986456299
"MOOS",2019-08-04,1655.39562475446
"MOOS",2019-08-05,1265.28869721165
"MOOS",2019-08-06,1417.94341891974
"MOOS",2019-08-07,2245.82096769378
"MOOS",2019-08-08,1745.42918508595
"MOOS",2019-08-09,1356.09226874974
"MOOS",2019-08-10,1208.30786792339
"MOOS",2019-08-11,1081.02501547271
"MOOS",2019-08-12,982.617583269458
"MOOS",2019-08-13,1095.59747755758
"MOOS",2019-08-14,2154.09338270777
"MOOS",2019-08-15,1825.52960085233
"MOOS",2019-08-16,2291.54038308555
"MOOS",2019-08-17,4056.54082056974
"MOOS",2019-08-18,3234.18810220305
"MOOS",2019-08-19,2736.14485377534
"MOOS",2019-08-20,2294.44717539046
"MOOS",2019-08-21,2059.82476073999
"MOOS",2019-08-22,1958.49128595167
"MOOS",2019-08-23,1781.48495983491
"MOOS",2019-08-24,1691.39364866292
"MOOS",2019-08-25,1578.4137543748
"MOOS",2019-08-26,1492.2880009168
"MOOS",2019-08-27,1427.56855900222
"MOOS",2019-08-28,1369.97172074868
"MOOS",2019-08-29,1330.64339837167
"MOOS",2019-08-30,1299.90070094824
"MOOS",2019-08-31,1282.76795160143
"MOOS",2019-09-01,1308.13982085884
"MOOS",2019-09-02,1339.01727024343
"MOOS",2019-09-03,1266.61696654303
"MOOS",2019-09-04,1193.67765499802
"MOOS",2019-09-05,1155.46584887059
"MOOS",2019-09-06,1149.28650893764
"MOOS",2019-09-07,1188.94208607744
"MOOS",2019-09-08,1145.59045514596
"MOOS",2019-09-09,1216.62398895465
"MOOS",2019-09-10,1220.5510461083
"MOOS",2019-09-11,1251.12049101025
"MOOS",2019-09-12,1355.26450670265
"MOOS",2019-09-13,1348.06490192096
"MOOS",2019-09-14,1199.77999381031
"MOOS",2019-09-15,1305.59878387707
"MOOS",2019-09-16,1277.33937259491
"MOOS",2019-09-17,1224.90160942558
"MOOS",2019-09-18,1374.14903154447
"MOOS",2019-09-19,1243.36262810377
"MOOS",2019-09-20,1424.56551529649
"MOOS",2019-09-21,1386.06495496658
"MOOS",2019-09-22,1643.44120077202
"MOOS",2019-09-23,1443.81579546144
"MOOS",2019-09-24,1228.21265761395
"MOOS",2019-09-25,1173.56111222564
"MOOS",2019-09-26,1105.06861539873
"MOOS",2019-09-27,1066.35630198701
"MOOS",2019-09-28,1042.9094607461
"MOOS",2019-09-29,1108.0524088243
"MOOS",2019-09-30,1138.94910848905
"MOOS",2019-10-01,1201.14676370202
"MOOS",2019-10-02,1313.60690042569
"MOOS",2019-10-03,1740.48186308356
"MOOS",2019-10-04,1561.66601063129
"MOOS",2019-10-05,1529.59504387648
"MOOS",2019-10-06,1406.72050558357
"MOOS",2019-10-07,1263.07491499268
"MOOS",2019-10-08,1194.81342152775
"MOOS",2019-10-09,1216.31598447201
"MOOS",2019-10-10,1421.10046486679
"MOOS",2019-10-11,1682.73102258869
"MOOS",2019-10-12,1487.24442751358
"MOOS",2019-10-13,1324.52180927922
"MOOS",2019-10-14,1434.42165874094
"MOOS",2019-10-15,1745.27518284463
"MOOS",2019-10-16,1859.75659898562
"MOOS",2019-10-17,1823.75857507715
"MOOS",2019-10-18,1821.83354706066
"MOOS",2019-10-19,1832.72920563402
"MOOS",2019-10-20,1643.47970133235
"MOOS",2019-10-21,1443.04578425484
"MOOS",2019-10-22,1487.06813547417
"POKE",2019-04-29,NA
"POKE",2019-04-30,NA
"POKE",2019-05-01,NA
"POKE",2019-05-02,NA
"POKE",2019-05-03,NA
"POKE",2019-05-04,NA
"POKE",2019-05-05,NA
"POKE",2019-05-06,NA
